gefahr_id,Climate change,Technological innovations and scientific advances,Urbanization and urban agriculture,Circular economy,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy,Policy
26,1,0,0,0,0,0,0,1,0,0,1,1
45,0,1,0,0,0,0,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0,0,0
48,1,0,0,0,0,0,0,0,0,1,0,0
55,0,0,1,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,1,0,0,0,0,0,0
63,0,0,0,0,0,0,1,0,0,0,0,0
66,0,0,0,0,0,1,0,0,0,0,0,0
69,0,1,0,0,0,0,0,0,0,0,0,0
91,0,3,3,0,1,1,0,0,0,1,0,0
102,0,1,0,0,0,0,0,0,0,0,0,0
109,0,2,0,0,1,0,0,0,0,0,0,0
111,2,2,0,0,0,1,2,0,1,0,0,0
119,1,0,0,0,0,0,0,1,0,0,1,1
125,0,2,0,0,0,1,1,0,0,0,0,0
126,0,2,4,0,0,0,0,0,1,2,0,0
127,0,1,0,0,0,1,0,0,1,1,0,0
128,0,0,1,0,0,0,0,0,0,0,1,0
130,0,1,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,1,0,0,0,0,0,0
148,0,0,0,0,0,1,0,0,0,0,0,0
150,0,1,1,0,0,0,0,0,0,0,0,0
166,0,1,0,0,0,0,0,0,0,1,0,0
167,0,0,0,0,1,0,0,0,0,0,0,0
174,0,0,0,0,0,1,0,0,0,0,0,0
180,0,1,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,1,0,0
197,0,1,0,0,0,0,0,0,0,0,0,0
198,0,0,1,0,0,0,0,0,0,0,0,0
200,0,0,1,0,0,0,0,0,0,0,0,0
201,0,0,1,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,1,0,0
220,0,0,0,0,1,0,0,0,0,0,0,0
221,0,0,1,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,1,0,0,0,0,0,0
225,0,1,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,1,0,0,0,0,0,0
235,0,0,0,0,1,0,0,0,0,0,0,0
237,0,0,0,0,0,0,1,0,0,0,0,0
273,0,0,0,0,0,2,0,0,0,0,0,0
274,0,0,0,0,1,0,0,0,0,0,0,0
277,1,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,1,0,0,0,0,0,0
279,0,1,0,0,0,0,0,0,0,0,0,0
280,0,0,1,0,0,0,0,0,0,0,0,0
281,0,0,1,0,0,0,0,0,0,0,0,0
282,0,0,1,0,0,0,0,0,0,0,0,0
283,0,0,0,0,0,1,0,0,0,0,0,0
284,0,1,0,1,0,0,0,0,0,0,0,0
285,0,0,0,1,0,0,0,0,0,0,0,0
294,0,1,0,0,0,0,0,0,0,0,0,0
298,1,1,0,0,0,0,1,0,1,0,0,0
299,0,1,0,0,0,0,0,0,0,0,0,0
301,0,0,0,0,0,1,0,0,0,0,0,0
308,0,0,0,0,0,0,1,0,0,0,0,0
309,0,0,0,0,0,1,0,0,0,0,0,0
310,0,0,0,1,0,0,0,0,0,0,0,0
311,0,0,0,0,0,1,0,0,0,0,0,0
313,0,0,1,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0,1,0,0
322,0,1,0,0,0,0,0,0,0,0,0,0
