matrix_id,Climate change,Technological innovations and scientific advances,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy,Policy
3,0,1,0,0,2,0,0,1,0,0
5,0,1,0,1,0,1,0,1,0,0
7,1,0,0,0,0,0,1,0,0,0
8,0,0,1,1,0,0,0,0,0,0
9,1,0,0,0,1,0,0,1,1,0
22,0,0,0,0,1,0,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0
32,0,0,0,0,0,0,0,1,0,0
34,0,0,0,0,1,0,0,0,0,0
35,0,0,0,1,0,1,0,0,0,0
54,0,0,0,0,1,0,0,0,0,0
58,0,1,0,1,0,0,0,0,0,0
59,1,0,0,0,0,1,0,0,1,1
60,0,0,0,0,2,0,0,0,0,0
80,0,0,0,1,0,0,0,0,0,0
100,0,1,0,1,1,0,0,0,0,0
