gefahr_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie,Politique
1,0,0,0,0,0,1,0,0,0,0,0
26,1,0,0,0,0,1,1,0,0,1,1
45,0,0,0,0,1,0,0,0,0,0,0
48,1,0,0,0,0,0,0,0,1,0,0
63,0,0,0,1,0,3,0,0,0,0,0
91,0,1,2,1,0,0,0,0,1,0,0
93,0,1,0,0,1,0,0,0,0,0,0
99,2,0,0,0,0,2,0,0,2,0,0
106,0,1,0,0,1,2,0,0,0,0,0
111,1,0,0,0,0,0,0,1,0,0,0
119,1,0,0,0,0,0,1,0,0,1,1
126,0,0,0,0,0,0,0,1,2,0,0
127,0,0,0,0,0,0,0,1,1,0,0
128,0,0,0,0,0,0,0,0,0,1,0
187,0,0,0,0,0,0,0,0,1,0,0
202,0,0,0,1,0,1,0,0,0,0,0
209,0,0,0,0,0,0,0,0,1,0,0
244,0,0,0,1,0,3,0,0,0,0,0
296,0,0,0,0,0,1,0,0,0,0,0
298,1,0,0,0,0,0,0,1,0,0,0
319,0,0,0,0,0,1,0,0,0,0,0
320,0,0,0,0,0,1,0,0,0,0,0
322,0,1,0,0,0,0,0,0,0,0,0
