gefahr_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
1,0,0,0,0,0,1,0,0,0,0,0
26,1,0,0,0,0,1,1,0,0,1,1
45,0,0,0,0,1,0,0,0,0,0,0
48,1,0,0,0,0,0,0,0,1,0,0
63,0,0,0,1,0,3,0,0,0,0,0
91,0,1,2,1,0,0,0,0,1,0,0
93,0,1,0,0,1,0,0,0,0,0,0
99,2,0,0,0,0,2,0,0,2,0,0
106,0,1,0,0,1,2,0,0,0,0,0
111,1,0,0,0,0,0,0,1,0,0,0
119,1,0,0,0,0,0,1,0,0,1,1
126,0,0,0,0,0,0,0,1,2,0,0
127,0,0,0,0,0,0,0,1,1,0,0
128,0,0,0,0,0,0,0,0,0,1,0
187,0,0,0,0,0,0,0,0,1,0,0
202,0,0,0,1,0,1,0,0,0,0,0
209,0,0,0,0,0,0,0,0,1,0,0
244,0,0,0,1,0,3,0,0,0,0,0
296,0,0,0,0,0,1,0,0,0,0,0
298,1,0,0,0,0,0,0,1,0,0,0
319,0,0,0,0,0,1,0,0,0,0,0
320,0,0,0,0,0,1,0,0,0,0,0
322,0,1,0,0,0,0,0,0,0,0,0
