gefahr_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Kreislaufwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
1,0,1,0,0,2,1,1,5,0,0,0,0,0
2,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0,1,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0
9,0,0,0,0,1,0,0,4,0,0,0,0,0
10,0,0,0,0,0,0,0,2,0,0,0,0,0
19,0,1,0,0,1,1,0,12,0,1,0,0,0
20,0,1,0,0,0,1,1,1,0,0,0,0,0
26,2,0,0,0,2,3,4,10,1,1,0,1,1
28,0,0,0,0,0,0,0,2,0,0,0,0,0
35,2,0,1,0,0,0,0,1,0,0,0,0,0
36,2,0,0,0,0,0,0,0,0,0,0,0,0
45,0,1,0,0,0,0,2,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0,0,0,0
48,3,0,0,0,0,0,0,0,0,0,1,0,0
55,0,0,1,0,0,0,1,0,0,0,0,0,0
58,0,0,0,0,0,0,1,0,0,0,0,0,0
63,0,0,1,0,0,1,0,11,0,0,0,0,0
66,0,0,0,0,0,0,1,0,0,0,0,0,0
69,0,1,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,1,0,0,0,0,0
78,0,1,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,1,0,0,0,0,0,0
85,0,0,0,0,0,0,0,1,0,0,0,0,0
86,2,0,0,0,0,0,1,3,0,0,0,0,0
87,0,0,0,0,0,1,0,1,0,0,0,0,0
88,0,0,0,0,0,0,0,1,0,0,0,0,0
89,0,0,0,0,0,0,0,1,0,0,0,0,0
90,0,0,0,0,1,5,3,0,0,0,0,0,0
91,0,3,3,0,0,2,2,0,0,0,1,0,0
92,0,0,0,0,0,0,2,0,0,0,0,0,0
93,2,1,1,0,1,3,3,6,0,1,0,0,0
94,0,0,0,0,0,0,0,2,0,0,0,0,0
96,0,1,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,1,0,0,0,0,0
98,0,1,0,0,0,0,0,0,0,0,0,0,0
99,9,1,0,0,0,0,0,6,0,0,2,0,0
100,0,0,0,0,0,0,0,1,0,0,0,0,0
101,0,1,0,0,0,0,0,0,0,0,0,0,0
102,0,1,0,0,0,0,1,0,0,0,0,0,0
103,0,1,0,0,0,2,1,0,0,0,0,0,0
106,0,1,0,1,0,0,1,3,0,0,0,0,0
107,0,0,0,0,1,0,0,2,0,0,0,0,0
108,0,0,0,0,0,0,1,0,0,0,0,0,0
109,0,4,0,0,0,1,0,0,0,0,0,0,0
111,3,2,0,0,0,0,4,2,0,1,0,0,0
112,0,0,0,0,0,0,0,1,0,0,0,0,0
115,0,0,0,0,0,0,1,0,0,0,0,0,0
119,1,0,0,0,0,0,0,1,1,0,0,1,1
123,0,0,0,0,0,0,0,3,0,0,0,0,0
125,0,2,0,0,0,0,1,2,0,0,0,0,0
126,0,4,8,0,0,0,2,0,0,1,2,0,0
127,0,1,1,0,0,0,1,0,0,1,1,0,0
128,0,0,1,1,0,0,0,0,0,0,0,1,0
129,0,0,0,0,0,0,0,1,0,0,0,0,0
130,0,1,1,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,1,0,0,0,0,0
142,0,0,0,0,0,0,2,0,0,0,0,0,0
146,0,1,0,0,1,0,0,0,0,0,0,0,0
148,0,1,0,0,0,0,1,0,0,0,0,0,0
150,0,1,1,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,1,0,0,0,0,0
160,0,0,1,0,0,0,0,1,0,0,0,0,0
165,0,0,0,0,0,0,1,0,0,0,0,0,0
166,0,1,1,0,0,0,0,0,0,0,1,0,0
167,0,0,0,0,0,1,1,0,0,0,0,0,0
174,1,0,0,0,0,0,1,0,0,0,0,0,0
177,0,0,0,0,0,0,0,1,0,0,0,0,0
180,0,1,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,1,0,0,0,0,0
184,0,0,0,0,0,0,0,1,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,1,0,0
192,1,1,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,1,0,0,0,0,0
194,0,0,0,0,0,0,0,1,0,0,0,0,0
195,0,0,0,0,0,0,0,1,0,0,0,0,0
197,0,1,0,0,0,0,0,0,0,0,0,0,0
198,0,0,2,0,0,0,0,0,0,0,0,0,0
199,0,0,1,0,0,0,0,0,0,0,0,0,0
