matrix_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie,Politique
1,1,0,0,1,0,3,6,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0,0,0
3,0,1,2,0,1,1,7,0,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0,0
6,0,0,0,0,1,1,2,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,2,0,0,0,0,0
9,1,1,0,0,0,0,3,0,0,1,0,0
16,0,0,0,0,0,1,0,0,0,0,0,0
20,0,0,0,0,0,1,0,0,0,0,0,0
21,0,1,0,1,0,1,0,0,0,0,0,0
22,0,0,0,1,0,1,2,0,0,0,0,0
23,0,0,1,1,0,1,5,0,0,0,0,0
24,0,1,0,0,0,0,1,0,0,0,0,0
26,0,0,0,1,0,0,0,0,0,0,0,0
27,0,0,0,0,1,1,0,0,0,0,0,0
30,0,0,0,0,1,0,2,0,0,0,0,0
32,0,0,0,0,0,1,0,0,0,0,0,0
33,0,0,0,0,0,0,1,0,0,0,0,0
34,0,2,1,1,1,1,4,0,0,0,0,0
38,0,0,0,0,0,0,1,0,0,0,0,0
39,0,0,0,0,1,3,0,0,0,0,0,0
42,0,0,0,0,0,1,0,0,0,0,0,0
45,0,0,0,0,0,0,1,0,0,0,0,0
52,0,0,0,1,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,8,0,0,0,0,0
55,0,0,0,0,0,0,2,0,0,0,0,0
56,0,1,0,1,0,1,0,0,0,0,0,0
58,0,1,0,0,5,4,0,0,0,0,0,0
59,2,0,0,0,0,0,4,1,0,0,1,1
60,0,0,0,0,0,0,2,0,0,0,0,0
61,1,0,0,0,0,0,1,0,0,0,0,0
62,0,0,0,0,0,1,0,0,0,0,0,0
86,0,0,0,0,1,0,0,0,1,0,0,0
100,0,1,0,0,0,1,1,0,0,0,0,0
104,0,0,0,0,0,0,1,0,0,0,0,0
106,0,0,0,0,0,0,1,0,0,0,0,0
117,0,0,0,0,0,0,3,0,0,0,0,0
120,0,0,0,0,0,0,2,0,0,0,0,0
121,0,0,0,0,0,0,1,0,0,0,0,0
123,0,0,0,0,0,0,1,0,0,0,0,0
126,0,0,0,1,0,0,1,0,0,0,0,0
151,0,0,0,0,0,1,0,0,0,0,0,0
155,0,0,0,0,0,0,1,0,0,0,0,0
