id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne
126,29,Per- und polyfluorierte Alkylverbindungen (PFAS),Substances per- et polyfluoroalkylées (PFAS),Sostanze per- e polifluoroalchiliche (PFAS),Per- and polyfluoroalkyl substances (PFAS),1.59
91,19,Pestizide,pesticides,pesticidi,pesticide,1.16
125,14,Mikroplastik,microplastiques,microplastica,microplastics,1.71
165,12,Cadmium,Cadmium,Cadmio,Cadmium,1.42
128,10,Schwermetalle,métaux lourds,metalli pesanti,heavy metals,1.1
111,10,Mykotoxine,Mycotoxine,Micotossine,Mycotoxin,1.1
187,9,Arsen,Arsenic,Arsenico,Arsenic,1.22
102,9,Blei,Plomb,Piombo,Lead,1.22
166,8,Bisphenol A (BPA),Bisphénol A (BPA),Bisfenolo A (BPA),Bisphenol A (BPA),1.88
167,7,Quecksilber,Mercure,Mercurio,Mercury,1.14
230,5,Nitrate,Nitrate,Nitrato,Nitrate,1.4
197,5,Nitrite,Nitrite,Nitrito,Nitrite,1.4
180,4,Phthalate,phtalates,ftalati,phthalates,1.25
150,4,Glyphosat,Glyphosate,Glifosato,Glyphosate,1.25
298,4,Deoxynivalenol (DON),Déoxynivalénol (DON),Deossinivalenolo (DON),Deoxynivalenol (DON),1.5
127,4,Perfluoroctansulfonsäure (PFOS),acide perfluorooctanesulfonique (PFOS),acido perfluoroottansolfonico,Perfluorooctanesulfonic acid (PFOS),1.75
66,3,Canabidiol (CBD),Canabidiol (CBD),Canabidiolo (CBD),Canabidiol (CBD),1.0
273,3,Koffein,Caféine,Caffeina,caffein,1.33
109,3,Nanopartikeln,Nanoparticules,Nanoparticole,Nanoparticles,1.0
45,3,Aspartam,Aspartam,Aspartam,Aspartam,1.67
174,3,Fungizid,Fongicide,Fungicida,Fungicide,1.33
185,2,Mineralöl,Huile minérale,Olio minerale,Mineral oil,1.0
243,2,Carboxymethylcellulosen (CMC),Carboxyméthylcellulose (CMC),Carbossimetilcellulosa (CMC),Carboxymethylcellulose (CMC),2.0
234,2,Sucralose,Sucralose,Sucralosio,Sucralose,1.0
284,2,MOSH,MOSH,MOSH,MOSH,1.0
246,2,Acrylamid,Acrylamide,Acrilammide,Acrylamide,1.5
148,2,Radioaktivität,Radioactivité,Radioattività,Radioactivity,1.5
293,2,Bromierte Flammschutzmittel (BFR),Agent ignifuge bromé (BFR),Ritardante di fiamma bromurato (BFR),Brominated flame retardants (BFRs),1.5
269,2,Polybromierte Diphenylether (PBDE),Polybromodiphényléthers (PBDE),Eteri di difenile polibromurati (PBDE),Polybrominated diphenyl ethers (PBDEs),1.5
63,2,Antibiotika,antibiotiques,antibiotici,antibiotics,2.0
221,2,kurzkettige Chlorparaffine (SCCP),paraffines chlorées à chaîne courte (PCCC),paraffine clorurate a catena corta (PCCC),short-chain chlorinated paraffins (SCCP),1.5
285,1,MOAH,MOAH,MOAH,MOAH,1.0
318,1,Diethylhexylphthalat (DEHP),phtalate de di-2-éthylhexyle (DEHP),Di-2-etilesilftalato (DEHP),diethylhexyl phthalate (DEHP),2.0
227,1,Erythrit,Érythritol,Eritritolo,Erythritol,1.0
260,1,benzaldehyd,benzaldéhyde,Benzaldeide,benzaldehyde,1.0
259,1,furfural,furfural,furfurale,furfural,1.0
258,1,"2,3,5-Trimethylpyrazine","2,3,5-Trimethylpyrazine","2,3,5-Trimethylpyrazine","2,3,5-Trimethylpyrazine",1.0
254,1,Polyethylenterephthalat,Polytéréphtalate d'éthylène,Polietilene tereftalato,polyethylene terephthalate,1.0
186,1,Biogene Amine,Amines biogènes,Ammine biogene,Biogenic amines,2.0
224,1,Perchlorat,Perchlorate,Perclorato,perchlorate,2.0
263,1,benzol,benzène,benzene,benzene,1.0
262,1,formaldehyd,formaldéhyde,formaldeide,formaldehyde,1.0
196,1,Grayanotoxine,Grayanotoxine,Graianotossina,Grayanotoxin,2.0
247,1,Calciumcarbid,Carbure de calcium,Carburo di calcio,Calcium carbide,2.0
46,1,Ciguatera,Ciguatera,Ciguatera,Ciguatera,2.0
203,1,Ochratoxin A (OTA),Ochratoxine A (OTA),Ocratossina A (OTA),Ochratoxin A (OTA),3.0
209,1,Anorganische Arsen,Arsenic inorganique,Arsenico inorganica,Inorganic arsenic,1.0
301,1,Metalle der Seltenen Erden (REE),Terre rare (REE),Terre rare (REE),rare earth elements (REE),2.0
309,1,Hexahydrocannabinol,Hexahydrocannabinol,Esaidrocannabinolo,Hexahydrocannabinol,1.0
292,1,Glycerin,Glycérol,Glicerolo,Glycerol,2.0
278,1,Morchella sextelata,Morchella sextelata,Morchella sextelata,Morchella sextelata,2.0
297,1,Gluten,gluten,glutine,gluten,1.0
225,1,Barium,Baryum,Bario,Barium,1.0
311,1,Ätherische Öle,Huile essentielle,Olio essenziale,essential oil,0.0
289,1,HT-2,HT-2,HT-2,HT-2,2.0
277,1,Microcystine,Microcystine,Microcistina,Microcystin,1.0
73,1,Tierarzneimittel,Produits pharmaceutiques vétérinaires,Farmaci veterinari,Veterinary pharmaceuticals,2.0
48,1,marine Biotoxine,biotoxines marines,biotossine marine,marine biotoxines,1.0
143,1,Menschliche Arzneimittelrückstände,Résidus de produits pharmacieutiques humains,Residui di farmaci umani,Human drug residues,2.0
322,1,Dimethylmonothioarsenate ((DMMTA),Dimethylmonothioarsenate (DMMTA),Dimethylmonothioarsenate (DMMTA),Dimethylmonothioarsenate (DMMTA),1.0
235,1,α-Tomatin,α-Tomatine,Tomatina,tomatine,1.0
240,1,Lithium,Lithium,Litio,Lithium,2.0
26,1,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,1.0
233,1,Glutaminsäure,Acide glutamique,Acido glutammico,Glutamic acid,1.0
237,1,Quaternäre Ammoniumverbindungen,Composées quaternaires d'ammonium,-,quaternary ammonium compounds,0.0
119,1,Norovirus,Norovirus,Norovirus,Norovirus,1.0
321,1,Fluconazol,Fluconazole,Fluconazolo,Fluconazole,2.0
264,1,sucralose-6-acetate,sucralose-6-acétate,sucralose-6-acetato,sucralose-6-acetate,1.0
142,1,Isoflavone,Isoflavone,Isoflavone,Isoflavones,1.0
306,1,Furan,Furane,Furano,Furan,2.0
299,1,Hexachlorcyclohexan,Hexachlorocyclohexane,Esaclorocicloesano,Hexachlorocyclohexane,1.0
275,1,Cyazofamid,Cyazofamid,Cyazofamid,Cyazofamid,1.0
62,1,Tierarzneimittel,les médicaments pour animaux,farmaci per animali,animal drugs,2.0
249,1,Nickel,Nickel,Nichel,Nickel,1.0
252,1,Morcheln,morilles,spugnola,morel mushroom,1.0
58,1,Melatonin,Mélatonine,Melatonina,Melatonin,1.0
228,1,Fipronil,Fipronil,Fipronil,Fipronil,2.0
222,1,GenX,GenX,GenX,GenX,2.0
288,1,T-2,T-2,T-2,T-2,2.0
219,1,Acesulfam-K,Acésulfame K,Acesulfame K,Acesulfame K,1.0
220,1,Tricyclazol,Tricyclazole,Tricyclazole,Tricyclazole,2.0
217,1,"2,6-diisopropylnaphthalene (DIPN)","2,6-diisopropylnaphtalène (DIPN)","2,6-diisopropilnaftalene (DIPN)","2,6-diisopropylnaphthalene (DIPN)",1.0
216,1,Bis(2-ethylhexyl) phthalate (DEHP),Phtalate de bis(2-éthylhexyle) (DEHP),Di-2-etilesilftalato (DEHP),Bis(2-ethylhexyl) phthalate (DEHP),1.0
215,1,Diisobutylphthalate (DIBP),Phtalate de diisobutyle (DIBP),Diisobutilftalato (DIBP),Diisobutyl phthalate (DIBP),1.0
214,1,Dibutylphthalate (DBP),Phtalate de dibutyle (DBP),Dibutilftalato (DBP),Dibutyl phthalate (DBP),1.0
313,1,"2,4-Dichlorphenoxyessigsäure","Acide 2,4-dichlorophénoxyacétique","Acido 2,4-diclorofenossiacetico","2,4-dichlorophenoxyacetic acid",1.0
241,1,Alternariol,alternariol,alternariolo,alternariol,1.0
198,1,Hexamethoxymethylmelamin (HMMM),Hexaméthoxyméthylmélamine (HMMM),Esametossimetilmelamina (HMMM),Hexamethoxymethylmelamine (HMMM),3.0
201,1,Diphenylguanidin (DPG),Diphénylguanidine (DPG),Difenilguanidina (DPG),Diphenylguanidine (DPG),3.0
55,1,6-PPD-Chinon,6-PPD-Chinon,6-PPD-Chinon,6-PPD-Chinon,3.0
200,1,6-PPD,6-PPD,6-PPD,6-PPD,3.0
294,1,Benzo(a)pyren,Benzopyrène,Benzo[a]pirene,Benzo[a]pyrene,1.0
279,1,"Organische Phosphit-Antioxidantien, OPA","Phosphites organiques antioxydants, OPA","Antiossidanti organici al fosfito, OPA","Organic phosphite antioxidants, OPA",1.0
271,1,Weichmacher,Plastifiant,Plastificante,Plasticiser,1.0
188,1,Thebain,Thébaïne,Tebaina,Thebaine,1.0
272,1,Mangan,Manganèse,Manganese,Manganese,1.0
93,1,Salmonella spp.,Salmonella spp.,Salmonella spp.,Salmonella spp.,2.0
280,1,Ethylendichlord,dichlorure d'éthylène,cloruro di etilene,ethylene dichloride,1.0
281,1,Ethylendioxid,dioxyde d'éthylène,Ossido di etilene,ethylene dioxide,1.0
282,1,Ketoprofen,Kétoprofène,Ketoprofene,Ketoprofen,1.0
248,1,Persistente organische Schadstoffe (POP),polluants organiques persistants (POP),inquinanti organici persistenti (POP),persistent organic pollutants (POPs),1.0
308,1,Fumonisine,Fumonisines,Fumonisine,Fumonisins,1.0
69,1,Tetrahydrocannabinol (THC),Tétrahydrocannabinol (THC),Tetraidrocannabinolo (THC),Tetrahydrocannabinol (THC),1.0
274,1,Baikiain,Baikiain,Baikiain,Baikiain,3.0
130,1,Bisphenol S,Bisphénol S,Bisfenolo S,Bisphenol S,1.0
310,1,Polyethylenterephthalat (PET),Polytéréphtalate d'éthylène (PET),Polietilene tereftalato (PET),Polyethylene terephthalate (PET),1.0
307,1,Natriumphosphat,Phosphate de sodium,Fosfato di sodio,Trisodium phosphate,2.0
283,1,Borax,Borax,Borace,Borax,1.0
