id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne
93,39,Salmonella spp.,Salmonella spp.,Salmonella spp.,Salmonella spp.,1.4
26,33,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,1.61
19,24,STEC/VTEC,STEC/VTEC,STEC/VTEC,STEC/VTEC,1.73
1,24,Escherichia coli,Escherichia coli,Escherichia coli,Escherichia coli,1.75
63,19,Antibiotika,antibiotiques,antibiotici,antibiotics,1.83
90,17,Clostridium botulinum,Clostridium botulinum,Clostridium botulinum,Clostridium botulinum,1.5
99,15,Vibrio spp.,Vibrio spp.,Vibrio spp.,Vibrio spp.,1.57
244,13,Antibiotikaresistenzen,Antibiorésistance,Antibiotico-resistenza,Antibiotic resistance,1.27
86,13,Campylobacter spp.,Campylobacter spp.,Campylobacter spp.,Campylobacter spp.,1.92
111,11,Mykotoxine,Mycotoxine,Micotossine,Mycotoxin,1.55
106,10,Bacillus cereus (sensu lato),Bacillus cereus (sensu lato),Bacillus cereus (sensu lato),Bacillus cereus (sensu lato),1.33
35,9,Cryptosporidium spp.,Cryptosporidium spp.,Cryptosporidium spp.,Cryptosporidium spp.,1.88
119,9,Norovirus,Norovirus,Norovirus,Norovirus,1.44
9,7,Staphylococcus aureus,Staphylococcus aureus,Staphylococcus aureus,Staphylococcus aureus,1.33
94,6,Salmonella Typhimurium,Salmonella Typhimurium,Salmonella Typhimurium,Salmonella Typhimurium,1.0
20,6,EHEC,EHEC,EHEC,EHEC,2.17
261,5,Pseudomonas,Pseudomonas,Pseudomonas,Pseudomonas,1.6
87,5,Campylobacter jejuni,Campylobacter jejuni,Campylobacter jejuni,Campylobacter jejuni,1.4
2,5,Hepatitis E Virus (HEV),Hepatitis E Virus (HEV),Hepatitis E Virus (HEV),Hepatitis E Virus (HEV),2.0
123,5,Salmonella Infantis,Salmonella Infantis,Salmonella Infantis,Salmonella Infantis,1.25
89,5,Cronobacter sakazakii,Cronobacter sakazakii,Cronobacter sakazakii,Cronobacter sakazakii,1.4
121,4,Hepatitis A virus,Virus de l'hépatite A,Virus dell'epatite A,Hepatitis A virus,1.5
4,4,Bacillus cytotoxicus,Bacillus cytotoxicus,Bacillus cytotoxicus,Bacillus cytotoxicus,1.67
238,4,Vibrio parahaemolyticus,Vibrio parahaemolyticus,Vibrio parahaemolyticus,Vibrio parahaemolyticus,1.25
36,4,Giardia spp.,Giardia spp.,Giardia spp.,Giardia spp.,2.67
195,4,Escherichia coli (ExPEC),Escherichia coli (ExPEC),Escherichia coli (ExPEC),Escherichia coli (ExPEC),2.25
10,4,Toxoplasma gondii,Toxoplasma gondii,Toxoplasma gondii,Toxoplasma gondii,1.75
202,4,Antibiotikaresistente Milchsäurebakterien,Bactéries lactiques résistantes aux antibiotiques,Batteri lattici resistenti agli antibiotici,Antibiotic-resistant lactic acid bacteria,2.0
125,3,Mikroplastik,microplastiques,microplastica,microplastics,1.33
256,3,Parasiten,Parasites,Parassiti,Parasites,1.33
101,3,Brucella spp.,Brucella spp.,Brucella spp.,Brucella spp.,2.0
48,3,marine Biotoxine,biotoxines marines,biotossine marine,marine biotoxines,2.0
129,3,Affenpocken-Virus (MPXV),variole du singe (MPXV),vaiolo delle scimmie (MXPV),Monkeypox virus (MPXV),2.0
193,3,Salmonella Agona,Salmonella Agona,Salmonella Agona,Salmonella Agona,2.0
88,3,Campylobacter coli,Campylobacter coli,Campylobacter coli,Campylobacter coli,1.33
28,3,Clostridioides difficile,Clostridioides difficile,Clostridioides difficile,Clostridioides difficile,1.33
8,2,Sapovirus,Sapovirus,Sapovirus,Sapovirus,1.5
160,2,Nipah Virus,Virus Nipah,Virus Nipah,Nipah virus,1.0
300,2,Vibrio vulnificus,Vibrio vulnificus,Vibrio vulnificus,Vibrio vulnificus,1.0
7,2,Cyclospora spp.,Cyclospora spp.,Cyclospora spp.,Cyclospora spp.,1.0
103,2,GMO (genetisch modifizierter Organismus),OGM (organisme génétiquement modifié),OGM (organismo geneticamente modificato),Genetically modified organism (GMO),2.0
153,2,Hepatitis,Hépatite,Epatite,Hepatitis,1.5
287,2,Salmonella Infantis,Salmonella Infantis,Salmonella Infantis,Salmonella Infantis,
91,2,Pestizide,pesticides,pesticidi,pesticide,1.5
156,2,Listeria innocua,Listeria innocua,Listeria innocua,Listeria innocua,2.5
105,2,Giardia duodenalis,Giardia duodenalis,Giardia duodenalis,Giardia duodenalis,1.5
97,2,Salmonella Kentucky,Salmonella Kentucky,Salmonella Kentucky,Salmonella Kentucky,1.5
186,2,Biogene Amine,Amines biogènes,Ammine biogene,Biogenic amines,1.5
181,2,hochpathogene Aviären Influenza (HPAI),virus de l'influenza aviaire hautement pathogène (IAHP),virus ad alta patogenicità (HPAI) di influenza aviaria,highly pathogenic avian influenza (HPAI) virus,1.0
226,2,Shigella spp.,Shigella spp.,Shigella spp.,Shigella spp.,1.0
120,2,Rotavirus,Rotavirus,Rotavirus,Rotavirus,1.5
211,2,Bacillus subtilis,Bacillus subtilis,Bacillus subtilis,Bacillus subtilis,1.5
146,2,Salmonella Thompson,Salmonella Thompson,Salmonella Thompson,Salmonella Thompson,3.0
296,2,Providencia spp.,Providencia spp.,Providencia spp.,Providencia spp.,2.0
107,2,Clostridium perfringens,Clostridium perfringens,Clostridium perfringens,Clostridium perfringens,1.0
251,1,Trichinella spp.,Trichinella spp.,Trichinella spp.,Trichinella spp.,1.0
177,1,Alongshan Virus (ALSV),Virus Alongshan (ALSV),Virus Alongshan (ALSV),Alongshan virus (ALSV),3.0
174,1,Fungizid,Fongicide,Fungicida,Fungicide,2.0
95,1,Arcobacter spp.,Arcobacter spp.,Arcobacter spp.,Arcobacter spp.,3.0
178,1,Fusarium sambucinum,Fusarium sambucinum,Fusarium sambucinum,Fusarium sambucinum,2.0
100,1,Frühsommer-Meningoenzephalitis (FSME),L'encéphalite à tiques,Encefalite trasmessa da zecche,Tick-borne encephalitis (TBE),1.0
245,1,Streptococcus equi,Streptococcus equi,Streptococcus equi,Streptococcus equi,3.0
325,1,Arsenophonus phytopathogenicus,Arsenophonus phytopathogenicus,Arsenophonus phytopathogenicus,Arsenophonus phytopathogenicus,
