id,count,bezeichnung_de,mean_sterne
93,4,Salmonella spp.,1.25
26,4,Listeria monocytogenes,1.5
63,3,Antibiotika,1.33
91,3,Pestizide,1.0
244,3,Antibiotikaresistenzen,1.33
106,2,Bacillus cereus (sensu lato),1.0
298,2,Deoxynivalenol (DON),2.0
119,2,Norovirus,1.5
99,2,Vibrio spp.,1.0
126,2,Per- und polyfluorierte Alkylverbindungen (PFAS),1.5
320,1,Citrobacter spp.,2.0
20,1,EHEC,2.0
319,1,Proteus spp.,2.0
1,1,Escherichia coli,2.0
48,1,marine Biotoxine,1.0
8,1,Sapovirus,2.0
273,1,Koffein,2.0
120,1,Rotavirus,2.0
296,1,Providencia spp.,2.0
111,1,Mykotoxine,1.0
19,1,STEC/VTEC,2.0
322,1,Dimethylmonothioarsenate ((DMMTA),1.0
261,1,Pseudomonas,1.0
45,1,Aspartam,1.0
127,1,Perfluoroctansulfonsäure (PFOS),2.0
203,1,Ochratoxin A (OTA),3.0
187,1,Arsen,1.0
209,1,Anorganische Arsen,1.0
202,1,Antibiotikaresistente Milchsäurebakterien,1.0
128,1,Schwermetalle,1.0
321,1,Fluconazol,2.0
