steckbrief_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Ecologia
36,2,0,0,0,0,0,0,1
42,0,1,0,0,1,1,0,0
51,0,1,0,1,5,0,0,0
64,0,0,0,0,1,0,0,0
83,0,0,0,0,0,0,0,1
85,0,1,0,0,0,0,0,0
88,0,1,0,0,2,0,0,0
95,0,1,0,4,15,0,1,0
103,0,1,0,0,0,0,0,0
135,0,0,0,0,1,0,0,0
140,0,0,1,0,0,0,0,0
150,0,0,0,0,2,0,0,0
209,0,0,0,0,1,0,0,0
211,0,0,0,0,2,0,0,0
212,0,0,0,1,0,0,0,0
216,0,0,0,0,2,0,0,0
220,0,0,0,0,0,0,0,1
222,0,0,0,0,3,0,0,0
233,0,0,0,0,5,0,0,0
234,0,0,0,0,0,0,0,1
238,0,2,0,0,1,0,1,0
242,0,0,0,0,2,0,0,0
245,0,0,0,0,1,0,0,0
248,0,1,0,0,0,1,0,0
