gefahr_id,Innovations technologiques et progrès scientifiques,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Ecologie
45,1,0,2,0,0,0
79,0,0,1,0,0,0
92,0,0,2,0,0,0
103,0,0,1,0,0,0
106,1,0,1,1,0,0
108,0,0,1,0,0,0
126,0,0,0,0,0,1
127,0,0,1,0,0,0
142,0,0,1,0,0,0
174,0,0,1,0,0,0
197,1,0,0,0,0,0
234,0,0,1,0,0,0
236,0,0,1,0,0,0
273,0,0,2,0,0,0
274,0,1,0,0,0,0
290,0,0,1,0,0,0
301,0,0,1,0,0,0
311,0,0,1,0,0,0
316,1,0,1,0,1,0
