matrix_id,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Economia
1,0,0,0,1,23,0,0,0
3,1,0,0,1,1,0,0,0
5,0,0,0,0,1,0,0,0
8,2,0,0,2,6,0,1,1
10,0,1,0,0,0,0,0,0
16,0,0,0,0,1,0,0,0
20,0,0,0,0,1,0,0,0
27,0,0,0,0,1,0,0,0
28,0,0,0,1,0,0,0,0
32,0,0,0,1,0,0,0,0
34,1,0,0,1,0,0,0,0
39,0,0,0,1,6,0,0,0
43,0,0,0,0,1,0,0,0
48,0,0,0,0,1,0,0,0
52,0,0,1,0,0,0,0,0
56,1,0,0,0,0,0,0,0
58,0,0,0,2,6,0,0,0
62,0,0,0,0,1,0,0,0
65,1,0,0,0,0,0,0,0
80,1,0,0,0,4,0,0,0
98,0,0,0,0,1,0,1,1
99,0,0,0,0,1,0,0,0
100,1,0,0,0,2,1,0,0
131,0,0,0,1,1,0,0,0
157,0,0,0,0,1,0,0,0
